timestamp,date,time,transition_type,from_mode,to_mode,cameras_affected,hours_since_last_transition,notes
2025-11-09T20:52:22.922Z,11/9/2025,3:52:22 PM,Switching to Optimal Surveillance mode (battery saving) and disabling all other motions,Customized Recording,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0.12,0/2 cameras successful
2025-11-09T20:52:38.393Z,11/9/2025,3:52:38 PM,Scheduled: Weekend Hours,Various,Customized Recording,2 cameras: Driveway; Driveway Above View,0,2/2 cameras successful
2025-11-09T20:53:45.321Z,11/9/2025,3:53:45 PM,Mixed states detected - defaulting to Customized Recording mode with all other motions enabled,Customized Recording,Customized Recording,2 cameras: Driveway; Driveway Above View,0.02,0/2 cameras successful
2025-11-09T20:53:53.038Z,11/9/2025,3:53:53 PM,Switching to Optimal Surveillance mode (battery saving) and disabling all other motions,Customized Recording,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0,0/2 cameras successful
2025-11-09T20:54:16.713Z,11/9/2025,3:54:16 PM,Scheduled: Weekend Hours,Various,Customized Recording,2 cameras: Driveway; Driveway Above View,0.01,2/2 cameras successful
2025-11-09T23:55:04.187Z,11/9/2025,11:55:04 PM,Mixed states detected - defaulting to Customized Recording mode with all other motions enabled,Customized Recording,Customized Recording,2 cameras: Driveway; Driveway Above View,3.01,0/2 cameras successful
2025-11-09T23:55:12.740Z,11/9/2025,11:55:12 PM,Switching to Optimal Surveillance mode (battery saving) and disabling all other motions,Customized Recording,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0,0/2 cameras successful
2025-11-10T19:20:46.588Z,11/10/2025,7:20:46 PM,Switching to Customized Recording mode and enabling all other motions,Optimal Surveillance (Battery Saving),Customized Recording,4 cameras: Backyard; Shed; Driveway; Driveway Above View,19.43,0/4 cameras successful
2025-11-10T19:21:05.046Z,11/10/2025,7:21:05 PM,Switching to Optimal Surveillance mode (battery saving) and disabling all other motions,Customized Recording,Optimal Surveillance (Battery Saving),4 cameras: Backyard; Shed; Driveway; Driveway Above View,0.01,0/4 cameras successful
2025-11-10T19:42:24.821Z,11/10/2025,7:42:24 PM,Switching to Customized Recording mode and enabling all other motions,Optimal Surveillance (Battery Saving),Customized Recording,2 cameras: Driveway; Driveway Above View,0.36,0/2 cameras successful
2025-11-10T19:51:10.986Z,11/10/2025,7:51:10 PM,Switching to Optimal Surveillance mode (battery saving) and disabling all other motions,Customized Recording,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0.15,0/2 cameras successful
2025-11-10T20:00:50.447Z,11/10/2025,8:00:50 PM,Scheduled: Weekday Work Hours,Various,Customized Recording,2 cameras: Driveway; Driveway Above View,0.16,2/2 cameras successful
2025-11-10T20:31:50.522Z,11/10/2025,8:31:50 PM,Mixed states detected - defaulting to Customized Recording mode with all other motions enabled,Customized Recording,Customized Recording,2 cameras: Driveway; Driveway Above View,0.52,0/2 cameras successful
2025-11-10T20:35:32.226Z,11/10/2025,8:35:32 PM,Switching to Optimal Surveillance mode (battery saving) and disabling all other motions,Customized Recording,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0.06,0/2 cameras successful
2025-11-10T20:35:40.101Z,11/10/2025,8:35:40 PM,Scheduled: Weekday Work Hours,Various,Customized Recording,2 cameras: Driveway; Driveway Above View,0,2/2 cameras successful
2025-11-11T05:02:17.602Z,11/11/2025,5:02:17 AM,Mixed states detected - defaulting to Customized Recording mode with all other motions enabled,Customized Recording,Customized Recording,2 cameras: Driveway; Driveway Above View,8.44,0/2 cameras successful
2025-11-11T05:02:29.010Z,11/11/2025,5:02:29 AM,Switching to Optimal Surveillance mode (battery saving) and disabling all other motions,Customized Recording,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0,0/2 cameras successful
2025-11-11T17:46:22.624Z,11/11/2025,5:46:22 PM,Schedule Revert,Various,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,12.73,2/2 cameras reverted to default mode
2025-11-11T17:46:28.227Z,11/11/2025,5:46:28 PM,Mixed states detected - defaulting to Customized Recording mode with all other motions enabled,Optimal Surveillance (Battery Saving),Customized Recording,2 cameras: Driveway; Driveway Above View,0,2/2 cameras successful
2025-11-11T17:47:13.270Z,11/11/2025,5:47:13 PM,Schedule Revert,Various,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0.01,2/2 cameras reverted to default mode
2025-11-11T17:47:51.648Z,11/11/2025,5:47:51 PM,Mixed states detected - defaulting to Customized Recording mode with all other motions enabled,Optimal Surveillance (Battery Saving),Customized Recording,2 cameras: Driveway; Driveway Above View,0.01,2/2 cameras successful
2025-11-11T17:47:54.447Z,11/11/2025,5:47:54 PM,Switching to Optimal Surveillance mode (battery saving) and disabling all other motions,Customized Recording,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0,0/2 cameras successful
2025-11-11T17:53:26.506Z,11/11/2025,5:53:26 PM,Schedule Revert,Various,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0.09,2/2 cameras reverted to default mode
2025-11-11T17:53:45.123Z,11/11/2025,5:53:45 PM,Mixed states detected - defaulting to Customized Recording mode with all other motions enabled,Optimal Surveillance (Battery Saving),Customized Recording,2 cameras: Driveway; Driveway Above View,0.01,2/2 cameras successful
2025-11-11T17:53:48.569Z,11/11/2025,5:53:48 PM,Switching to Optimal Surveillance mode (battery saving) and disabling all other motions,Customized Recording,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0,0/2 cameras successful
2025-11-11T17:54:21.578Z,11/11/2025,5:54:21 PM,Schedule Revert,Various,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0.01,2/2 cameras reverted to default mode
2025-11-11T17:58:49.817Z,11/11/2025,5:58:49 PM,Schedule Revert,Various,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0.07,2/2 cameras reverted to default mode
2025-11-11T18:11:01.499Z,11/11/2025,1:11:01 PM,Scheduled: Weekday Work Hours,Various,Customized Recording,2 cameras: Driveway; Driveway Above View,0.2,2/2 cameras successful
2025-11-11T18:12:27.958Z,11/11/2025,1:12:27 PM,Schedule Revert,Various,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0.02,2/2 cameras reverted to default mode
2025-11-11T18:13:10.437Z,11/11/2025,1:13:10 PM,Scheduled: Weekday Work Hours,Various,Customized Recording,2 cameras: Driveway; Driveway Above View,0.01,2/2 cameras successful
2025-11-11T18:14:37.270Z,11/11/2025,6:14:37 PM,Schedule Revert,Various,Optimal Surveillance (Battery Saving),2 cameras: Driveway; Driveway Above View,0.02,2/2 cameras reverted to default mode
2025-11-11T18:20:33.861Z,11/11/2025,1:20:33 PM,Scheduled: Weekday Work Hours,Various,Customized Recording,2 cameras: Driveway; Driveway Above View,0.1,2/2 cameras successful
